group,method,n_posts,pair_universe_note,pairwise_f1,pairwise_precision,pairwise_recall,ari,nmi,false_merge_rate,false_split_rate,post_assignment_accuracy,predicted_story_count,singleton_predicted_rate
all_test,semantic_only,263,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.12113564668769715,0.06722689075630252,0.6114649681528662,0.10646177639491755,0.7919272574538463,0.07803392014997511,0.5555555555555556,0.609375,95.0,0.5789473684210527
all_test,semantic_time,263,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.1718281718281718,0.1018957345971564,0.5477707006369427,0.1589014666337588,0.8081455400331836,0.044406690295556404,0.5370370370370371,0.5703125,91.0,0.6153846153846154
all_test,hybrid_graph_v1_entity,263,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.018063105818736158,0.00911386526572432,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
all_test,hybrid_v4_1_soft_entity_penalty,263,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.2688081149619611,0.18296892980437285,0.5063694267515924,0.2588848792953635,0.8763853396049572,0.02079732856849937,0.5,0.546875,122.0,0.6885245901639344
all_test,deepseek_chat_llm,263,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.2948207171314741,0.19659936238044634,0.589171974522293,0.2850493675289847,0.8706836522575482,0.022144761123641582,0.48148148148148145,0.6015625,113.0,0.5663716814159292
gold_non_singleton_test,semantic_only,180,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.19345088161209067,0.11490125673249552,0.6114649681528662,0.1660854961766903,0.7829004063633825,0.09363129906305394,0.5555555555555556,0.609375,61.0,0.45901639344262296
gold_non_singleton_test,semantic_time,180,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.2893187552565181,0.19657142857142856,0.5477707006369427,0.2683290612508593,0.8035052346970681,0.044504937958976955,0.5370370370370371,0.5703125,57.0,0.45614035087719296
gold_non_singleton_test,hybrid_graph_v1_entity,180,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.038236726741354116,0.019490999379267536,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_non_singleton_test,hybrid_v4_1_soft_entity_penalty,180,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.3887530562347188,0.31547619047619047,0.5063694267515924,0.3737106837259946,0.8647531858851056,0.02184097239807546,0.5,0.546875,75.0,0.5066666666666667
gold_non_singleton_test,deepseek_chat_llm,180,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.40525739320920046,0.3088480801335559,0.589171974522293,0.389647465179597,0.8547920004708423,0.026209166877690555,0.48148148148148145,0.6015625,64.0,0.390625
gold_singleton_test,semantic_only,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.8603535493092836,0.05612694681163679,0.0,1.0,47.0,0.574468085106383
gold_singleton_test,semantic_time,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.8791550096653287,0.044372612400822804,0.0,1.0,49.0,0.6122448979591837
gold_singleton_test,hybrid_graph_v1_entity,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_singleton_test,hybrid_v4_1_soft_entity_penalty,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.9462559836964675,0.017043784895680283,0.0,1.0,65.0,0.7076923076923077
gold_singleton_test,deepseek_chat_llm,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.947665315372428,0.012048192771084338,0.0,1.0,63.0,0.6190476190476191
gold_story_size_1_test,semantic_only,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.8603535493092836,0.05612694681163679,0.0,1.0,47.0,0.574468085106383
gold_story_size_1_test,semantic_time,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.8791550096653287,0.044372612400822804,0.0,1.0,49.0,0.6122448979591837
